,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-01-03,1407.906918059532,-1218.3870004921814,4224.743790261577,1407.906918059532,1407.906918059532,102.91899093054198,102.91899093054198,102.91899093054198,370.8657671850727,370.8657671850727,370.8657671850727,-267.9467762545307,-267.9467762545307,-267.9467762545307,0.0,0.0,0.0,1510.825908990074
1,2015-01-04,1408.155670289621,-1705.5023274923376,3842.8233720918834,1408.155670289621,1408.155670289621,-233.6488935048472,-233.6488935048472,-233.6488935048472,130.75307708914437,130.75307708914437,130.75307708914437,-364.40197059399156,-364.40197059399156,-364.40197059399156,0.0,0.0,0.0,1174.5067767847738
2,2015-01-05,1408.40442251971,-1660.8533521314157,3751.4067146761186,1408.40442251971,1408.40442251971,-448.1339634086926,-448.1339634086926,-448.1339634086926,7.14549095350574,7.14549095350574,7.14549095350574,-455.2794543621983,-455.2794543621983,-455.2794543621983,0.0,0.0,0.0,960.2704591110173
3,2015-01-06,1408.6531747497986,-1400.5524589087347,4103.026591152294,1408.6531747497986,1408.6531747497986,-192.00631185009289,-192.00631185009289,-192.00631185009289,347.356426589311,347.356426589311,347.356426589311,-539.3627384394039,-539.3627384394039,-539.3627384394039,0.0,0.0,0.0,1216.6468628997056
4,2015-01-07,1408.9019269798873,-2012.9665319095154,3345.6221910059157,1408.9019269798873,1408.9019269798873,-718.3919316817563,-718.3919316817563,-718.3919316817563,-102.82952464675238,-102.82952464675238,-102.82952464675238,-615.562407035004,-615.562407035004,-615.562407035004,0.0,0.0,0.0,690.509995298131
5,2015-01-09,1409.3994314400652,-2069.8022925368664,3531.971957228989,1409.3994314400652,1409.3994314400652,-809.791246844107,-809.791246844107,-809.791246844107,-69.04843345193513,-69.04843345193513,-69.04843345193513,-740.7428133921719,-740.7428133921719,-740.7428133921719,0.0,0.0,0.0,599.6081845959582
6,2015-01-10,1409.6481836701541,-1661.0203038892923,3784.123788073404,1409.6481836701541,1409.6481836701541,-417.5335511738953,-417.5335511738953,-417.5335511738953,370.86576718506967,370.86576718506967,370.86576718506967,-788.3993183589649,-788.3993183589649,-788.3993183589649,0.0,0.0,0.0,992.1146324962588
7,2015-01-11,1409.8969359002429,-1781.6524172077736,3413.721188005828,1409.8969359002429,1409.8969359002429,-694.8044274806538,-694.8044274806538,-694.8044274806538,130.75307708880177,130.75307708880177,130.75307708880177,-825.5575045694557,-825.5575045694557,-825.5575045694557,0.0,0.0,0.0,715.0925084195891
8,2015-01-13,1410.3944403604207,-2003.1373283413543,3636.895571348067,1410.3944403604207,1410.3944403604207,-520.7092950612215,-520.7092950612215,-520.7092950612215,347.3564265892556,347.3564265892556,347.3564265892556,-868.0657216504771,-868.0657216504771,-868.0657216504771,0.0,0.0,0.0,889.6851452991992
9,2015-01-14,1410.6431925905094,-2366.167045853853,3101.4353515368416,1410.6431925905094,1410.6431925905094,-976.6497526064832,-976.6497526064832,-976.6497526064832,-102.82952464694411,-102.82952464694411,-102.82952464694411,-873.8202279595391,-873.8202279595391,-873.8202279595391,0.0,0.0,0.0,433.9934399840263
10,2015-01-15,1410.8919448205984,-2989.1843538519324,2433.540443735728,1410.8919448205984,1410.8919448205984,-1554.121702513657,-1554.121702513657,-1554.121702513657,-684.2428037186569,-684.2428037186569,-684.2428037186569,-869.878898795,-869.878898795,-869.878898795,0.0,0.0,0.0,-143.22975769305867
11,2015-01-16,1411.1406970506873,-2131.080497970721,3389.319788073184,1411.1406970506873,1411.1406970506873,-926.0296486044205,-926.0296486044205,-926.0296486044205,-69.04843345116969,-69.04843345116969,-69.04843345116969,-856.9812151532508,-856.9812151532508,-856.9812151532508,0.0,0.0,0.0,485.11104844626686
12,2015-01-18,1411.638201510865,-1917.6352603163032,3420.397383944563,1411.638201510865,1411.638201510865,-677.454579001508,-677.454579001508,-677.454579001508,130.7530770894673,130.7530770894673,130.7530770894673,-808.2076560909754,-808.2076560909754,-808.2076560909754,0.0,0.0,0.0,734.183622509357
13,2015-01-19,1411.886953740954,-1977.3671683235552,3332.574244831162,1411.886953740954,1411.886953740954,-767.5311044615743,-767.5311044615743,-767.5311044615743,7.145490953176534,7.145490953176534,7.145490953176534,-774.6765954147509,-774.6765954147509,-774.6765954147509,0.0,0.0,0.0,644.3558492793796
14,2015-01-20,1412.1357059710426,-1863.3126904084013,3612.584217944906,1412.1357059710426,1412.1357059710426,-389.4682930352679,-389.4682930352679,-389.4682930352679,347.3564265895341,347.3564265895341,347.3564265895341,-736.824719624802,-736.824719624802,-736.824719624802,0.0,0.0,0.0,1022.6674129357748
15,2015-01-23,1412.8819626613092,-2026.7635308825234,3382.678543468835,1412.8819626613092,1412.8819626613092,-681.0482430805608,-681.0482430805608,-681.0482430805608,-69.04843345234987,-69.04843345234987,-69.04843345234987,-611.999809628211,-611.999809628211,-611.999809628211,0.0,0.0,0.0,731.8337195807484
16,2015-01-26,1413.6282193515758,-1649.8514718624342,3791.515965406926,1413.6282193515758,1413.6282193515758,-494.1811085067715,-494.1811085067715,-494.1811085067715,7.145490953473896,7.145490953473896,7.145490953473896,-501.32659946024535,-501.32659946024535,-501.32659946024535,0.0,0.0,0.0,919.4471108448042
17,2015-01-27,1413.8769715816647,-1450.5332865299597,4000.8173059307833,1413.8769715816647,1413.8769715816647,-126.58871858006952,-126.58871858006952,-126.58871858006952,347.35642658914486,347.35642658914486,347.35642658914486,-473.9451451692144,-473.9451451692144,-473.9451451692144,0.0,0.0,0.0,1287.2882530015952
18,2015-01-28,1414.1257238117535,-1993.2063856387927,3452.162026733659,1414.1257238117535,1414.1257238117535,-556.0271293894597,-556.0271293894597,-556.0271293894597,-102.82952464699783,-102.82952464699783,-102.82952464699783,-453.19760474246186,-453.19760474246186,-453.19760474246186,0.0,0.0,0.0,858.0985944222938
19,2015-01-30,1414.623228271931,-1788.957814731911,3628.9697138044844,1414.623228271931,1414.623228271931,-503.9280390965961,-503.9280390965961,-503.9280390965961,-69.04843345170187,-69.04843345170187,-69.04843345170187,-434.8796056448942,-434.8796056448942,-434.8796056448942,0.0,0.0,0.0,910.695189175335
20,2015-01-31,1414.87198050202,-1541.030838041855,4206.3269866836545,1414.87198050202,1414.87198050202,-67.55177666457429,-67.55177666457429,-67.55177666457429,370.86576718503386,370.86576718503386,370.86576718503386,-438.41754384960814,-438.41754384960814,-438.41754384960814,0.0,0.0,0.0,1347.3202038374457
21,2015-02-01,1415.120732732109,-1703.9006833255435,3765.962815761047,1415.120732732109,1415.120732732109,-320.0234247848586,-320.0234247848586,-320.0234247848586,130.75307708961674,130.75307708961674,130.75307708961674,-450.77650187447534,-450.77650187447534,-450.77650187447534,0.0,0.0,0.0,1095.0973079472503
22,2015-02-02,1415.3694849621977,-1951.0773415843794,3901.6386864624787,1415.3694849621977,1415.3694849621977,-464.7786244494729,-464.7786244494729,-464.7786244494729,7.145490953128955,7.145490953128955,7.145490953128955,-471.9241154026018,-471.9241154026018,-471.9241154026018,0.0,0.0,0.0,950.5908605127248
23,2015-02-03,1415.6182371922866,-1567.2324587069572,3937.068255371886,1415.6182371922866,1415.6182371922866,-154.2296543815736,-154.2296543815736,-154.2296543815736,347.3564265893666,347.3564265893666,347.3564265893666,-501.5860809709402,-501.5860809709402,-501.5860809709402,0.0,0.0,0.0,1261.3885828107132
24,2015-02-04,1415.8669894223756,-1978.5803390172737,3596.221914268548,1415.8669894223756,1415.8669894223756,-642.0806174539168,-642.0806174539168,-642.0806174539168,-102.82952464750953,-102.82952464750953,-102.82952464750953,-539.2510928064072,-539.2510928064072,-539.2510928064072,0.0,0.0,0.0,773.7863719684588
25,2015-02-06,1416.364493882553,-2082.813175794879,3342.9688781684063,1416.364493882553,1416.364493882553,-704.477942424003,-704.477942424003,-704.477942424003,-69.04843345105394,-69.04843345105394,-69.04843345105394,-635.4295089729491,-635.4295089729491,-635.4295089729491,0.0,0.0,0.0,711.88655145855
26,2015-02-07,1416.6132461126422,-1690.3968381544594,3711.313454981829,1416.6132461126422,1416.6132461126422,-320.99263148879965,-320.99263148879965,-320.99263148879965,370.865767185093,370.865767185093,370.865767185093,-691.8583986738927,-691.8583986738927,-691.8583986738927,0.0,0.0,0.0,1095.6206146238426
27,2015-02-08,1416.8619983427309,-1948.596539894678,3546.698742539211,1416.8619983427309,1416.8619983427309,-621.4154563166117,-621.4154563166117,-621.4154563166117,130.75307708993518,130.75307708993518,130.75307708993518,-752.1685334065469,-752.1685334065469,-752.1685334065469,0.0,0.0,0.0,795.4465420261192
